Code,ForecastDate,ForecastType,ForecastStart,ForecastEnd,PrecipitationProbability,WeatherConditions,PrecipitationType,ExpectedPrecipitationAmount,MinimumTemperature,MaximumTemperature,WindDirection,WindSpeed,PrecipitationAmountDay,Notes,global_id
795291,12.06.2023,трехчасовой прогноз,12.06.2023,12.06.2023,,,дождь,,19,21,,,,"Днем преимущественно без осадков 0-0,2 мм, температура 19…21 градус, ветер северо-восточный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью без осадков, температура 8…10 градусов, ветер восточный 3-8 м/сек.",2592103042
795487,13.06.2023,трехчасовой прогноз,13.06.2023,13.06.2023,,,без осадков,,20,22,,,,"Днем без осадков, температура 20…22 градуса, ветер восточный 5-10 м/сек. Ночью без осадков, температура 10…12 градусов, ветер переменный 2-7 м/сек.",2592135960
795683,14.06.2023,трехчасовой прогноз,14.06.2023,14.06.2023,,,без осадков,,22,24,,,,"Днем без осадков, температура 22…24 градуса, ветер переменный 2-7 м/сек. Ночью без осадков, температура 11…13 градусов, ветер северо-восточный 3-8 м/сек.",2592159867
795868,15.06.2023,трехчасовой прогноз,15.06.2023,15.06.2023,,,без осадков,,26,28,,,,"Днем жаркая погода, без осадков, температура 26…28 градусов, ветер северо-восточный 3-8 м/сек. Ночью без осадков, температура 15…17 градусов, ветер слабый, менее 5 м/сек.",2592181964
796064,16.06.2023,трехчасовой прогноз,16.06.2023,16.06.2023,,,без осадков,,27,29,,,,"Днем сохранится жаркая погода, без осадков, температура 27…29 градусов, ветер северо-восточный 5-10 м/сек. Ночью без осадков, температура 15…17 градусов, ветер слабый, менее 5 м/сек.",2592207672
796260,17.06.2023,трехчасовой прогноз,17.06.2023,17.06.2023,,,без осадков,,27,29,,,,"Днем сохранится жаркая погода, без осадков, температура 27…29 градусов, ветер северо-восточный 5-10 м/сек. Ночью без осадков, температура 14…16 градусов, ветер северо-восточный 2-7 м/сек.",2592270187
796456,18.06.2023,трехчасовой прогноз,18.06.2023,18.06.2023,,,без осадков,,23,25,,,,"Днем без существенных осадков 0-0,2 мм, температура 23…25 градусов, ветер северо-восточный 5-10 м/сек. Ночью без осадков, температура 13…15 градусов, ветер северо-восточный 3-8 м/сек.",2592293028
796629,19.06.2023,трехчасовой прогноз,19.06.2023,19.06.2023,,,без осадков,,21,23,,,,"Днем без осадков, температура 21…23 градуса, ветер северо-восточный 5-10 м/сек. Ночью без осадков, температура 10…12 градусов, ветер восточный 3-8 м/сек.",2592314136
796825,20.06.2023,трехчасовой прогноз,20.06.2023,20.06.2023,,,дождь,,23,25,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, температура 23…25 градусов, ветер северный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью без осадков, температура 10…12 градусов, ветер северный 3-8 м/сек.",2594747200
797021,21.06.2023,трехчасовой прогноз,21.06.2023,21.06.2023,,,без осадков,,22,24,,,,"Днем без осадков, температура 22…24 градуса, ветер северный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 10…12 градусов, ветер переменный 2-7 м/сек.",2597517363
